url,description
https://jobinja.ir/companies/nafw/jobs/AInJ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-%D8%AF%D8%B1-%D9%86%D9%88%DB%8C%D9%86-%D8%A2%D9%88%D8%A7%D8%B2%D9%87-%DA%AF%D8%B1%D8%A7%D9%86-%D9%81%D8%B1%D8%A7-%D9%88%D8%A8?_ref=16,نوین آوازه گران فراوب به دنبال یک توسعه‌دهنده ماهر در زمینه Laravel است تا به تیم پویایمان در حوزه  VOD بپیوندد. در این نقش، شما مسئول طراحی، توسعه و حفظ راهکارهای پشتیبانی از پلتفرم VOD ما هستید. با همکاری نزدیک با توسعه‌دهندگان frontend، طراحان UI/UX و مدیران محصول، به ارائه ویژگی‌ها و امکانات با کیفیت به کاربران ما می‌پردازید.مهارت های مورد نیاز موقعیت برنامه نویس لاراول:تسلط به زبان PHP و OOPتسلط به Laravelتسلط به RESTFULL APIتسلط به Gitتسلط به MySqlآشنا با Postgresqlآشنا با Clean codeآشنا با Dockerآشنا با میکروسرویس ها
https://jobinja.ir/companies/fanavaran-zehn-rasa/jobs/AsKC/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-laravel-%D8%AF%D8%B1-%D9%81%D9%86%D8%A7%D9%88%D8%B1%D8%A7%D9%86-%D8%B0%D9%87%D9%86-%D8%B1%D8%B3%D8%A7?_ref=16,شرکت فناوران ذهن رسا  جهت تکمیل تیم توسعه نرم افزار خود، از برنامه نویس back-end با تجربه و تسلط بر Laravel و PHP دعوت به همکاری می‌نماید.ویژگی‌های مورد نیاز:- تجربه کار با Laravel و PHP حداقل 3 سال- تسلط بر زبان‌های برنامه نویسی مانند PHP، SQL و JavaScript- توانایی حل مسائل و تولید کد به صورت سریع و موثر- توانایی کار تیمی و ارتباط موثر با اعضای تیم- داشتن مهارت‌های ارتباطی و مدیریت زمان مناسبمزیت آشنایی با :WordPressreactموقعیت شغلی: برنامه نویس Back-end Laravel و PHPمحل کار: تهرانساعت کاری: تمام وقت
https://jobinja.ir/companies/my-siloo/jobs/AfpS/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-laravel-%D8%AF%D8%B1-%D9%85%D8%A7%DB%8C-%D8%B3%DB%8C%D9%84%D9%88?_ref=16,تسلط به فریمورک laravel و PHPتسلط به JavaScriptآشنایی با Inertia.js و filamentآشنایی و با gitآشنایی با لینوکسآشنایی با فریمورک svelte مزیت محسوب میشود
https://jobinja.ir/companies/itechnet/jobs/AzVv/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-remote-laravel-devops-engineer-%D8%AF%D8%B1-%D8%A2%DB%8C%D8%AA-%DA%A9-%D9%86-%D8%AA?_ref=16,"Job Summary:AtiTechNet, we are looking for a PHP (Laravel) Software Engineer with a highly skilled DevOps background with an interest in and experience with booking platforms. The ideal candidate must be able to design, develop, and maintain high-performance, scalable, and secure software solutions. The successful candidate will work closely with other team members to deliver new features, improve existing functionality, and ensure the reliability and stability of our platform.Responsibilities:Design and develop highly scalable and secure software solutions using PHP (Laravel) and other relevant technologiesDevelop and maintain APIs and web services for our platform.Work closely with the product team to understand requirements and translate them into technical specifications.Collaborate with other engineers to ensure the reliability and stability of our platform.Write clean, well-documented code and conduct thorough testing to ensure high-quality deliverables.Keep up-to-date with the latest developments in the booking industry and identify opportunities to leverage new technologies and trends.Participate in code reviews and contribute to continuously improving our development processes.Requirements:3+ years of experience in PHP (Laravel) software development.2+ years of experience inDevOps.Expert in Mail Server Management.Expert in Email DevelopmentExpert in Mailgun Service.Ability to solve complex problems and implement efficient solutions.Strong understanding of software development principles, design patterns, modular design, OOP, and Solid.Expert in REST API and RESTful Web services.Expert in GitHub, CI/CD, and Jenkins.Proficient in microservices architecture and containerization (Docker).Experience with Stripe, PayPal, etc.Familiar with Security Concepts.Familiar with Scrum Methodology.Professional in time estimation.Committed to team planning.Collaborate in planning sprints, and participate in retrospective meetings.Excellent communication skills and ability to work collaboratively in a team environment.Preferred Qualifications:Proficient in System Analysis.Proficient in Linux, Apache, and Nginx.Proficient in documentation.Proficient in Sentry and monitoring services.Proficient in Security.Proficient in Elasticsearch, and Meilisearch.Passion for learning new tools and technologies deeply to expand your knowledge and experience.If you are a talented PHP (Laravel) - DevOps Engineer with a passion for teamwork and experience working on a Booking platform, we encourage you to apply for this exciting opportunity to work on a cutting-edge platform in a rapidly growing industry."
https://jobinja.ir/companies/banirayanpardazno/jobs/AsQx/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-php-developer-laravel-%D8%AF%D8%B1-%D8%A8%D8%A7%D9%86%DB%8C-%D8%B1%D8%A7%DB%8C%D8%A7%D9%86-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2-%D9%86%D9%88?_ref=16,تسلط به زبان برنامه نویسی PHP Pureتسلط کامل به فریم ورک Laravelمسلط به MVC و OOP و DDD و Event Driven Designتوانایی تحلیل ،پیاده سازی و بهینه سازی دیتابیس MySQLتسلط به Redisتسلط بر Best practice ها و Design pattern هاآشنا به وب سرور NOINXآشنا به Dockerآشنا به  Linuxدر مجموعه بانی نو جوی کاملا صمیمی بین کلیه پرسنل در بخش‌های مختلف وجود دارد، هر بخش به صورت تیم ورک براساس اسکرام مشغول به کار می‌باشند.مزایای شرکت:پاداشدریافتی منظمبیمه تامین اجتماعیکار بر اساس متولوژی اسکرام و کانبان
https://jobinja.ir/companies/iraninvr/jobs/A0XO/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-laravel-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%86-%D8%AF%D8%B1-%D9%88%D8%A7%D9%82%D8%B9%DB%8C%D8%AA-%D9%85%D8%AC%D8%A7%D8%B2%DB%8C?_ref=16,"توانمندی های کلیدی:تسلط کامل بر زبان php و فرمورک Laravel | یا Yii2تسلط به MySQL,  PostgreSQLدرک مفهوم شی گرایی OOPرعایت اصول SOLID و تست نویسیتسلط بر مفهوم api RESTfullتسلط بر مفاهیم VCS و Gitدارای روحیه کار تیمیآشنایی با قوانین  clean code و رعایت آنآشنایی با مفاهیم ORMآشنایی با Redisآشنایی با وب سرور NGINX و Apacheآشنایی با RabbitMQ , MinIOدارای تجربه کار با لینوکسداشتن توانمندی های زیر مزیت محسوب می‌شود:Good communication skillsLinuxScrum / AgileTesting (E2E, Unit test)انتظارات ما:حداقل سابقه ی کار مدنظر: 3 سالويژگی های فردی:روحيه پرانرژی و سازندهتوانایی درك مسئله و ارائه راه حلتوانایی كار تيمیمتعهد و مسئوليت پذيرآشنایی كافی به زبان انگليسیتمام وقت - حضوری - میرداماد"
https://jobinja.ir/companies/mehromah/jobs/AJJ0/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-laravel-%D8%AF%D8%B1-%D9%85%D9%87%D8%B1%D9%88%D9%85%D8%A7%D9%87?_ref=16,"نیازمند نیروی برنامه نویس با شرایط زیر به صورت تمام وقت هستیم:آشنایی کامل با HTML , CSSتسلط به PHP و فریم ورک Laravelتسلط به Eloquent ORMتسلط به آنالیز و طراحی Databaseتسلط در پیاده‌سازی API و وب‌سرویس‌های RESTfulتسلط نسبی به MySQL , SQLتسلط به git , githubآشنایی با مفاهیم OOP/SOLID/Design Patternsتوانایی نوشتن Clean CodeتواناییProblem Solving و R&Dآشنا با مفاهیم امنیتتسلط نسبی به زبان انگلیسیدارای روحیه همکاری و کار گروهیدارا بودن موارد زیر مزیت محسوب می‌شوند:آشنایی با Software Designآشنایی با TDDآشنایی با No Sql Databasesآشنایی با MVC and Microservice Architecturesآشنایی با توسعه Frontendآشنایی با Javascript , React , Next.jsنمونه کار مناسبمزایای شرکت:محیط کاری جوان پویا و خلاقپرداخت به موقع حقوقبیمه تامین اجتماعیبیمه تکمیلیدسترسی آسان به مترو و BRTساعت کاری شنبه تا چهارشنبه 8:30 تا 18:00محدوده‌ی شرکت: میدان انقلاب، خیابان منیری جاوید"
https://jobinja.ir/companies/nik-dade-pardaz/jobs/ASjM/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-laravel-back-end-developer-%D8%AF%D8%B1-%D9%86%DB%8C%DA%A9-%D8%AF%D8%A7%D8%AF%D9%87-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2?_ref=16,"We are seeking a skilledPHP Back-end Developerwith a strong grasp of theLaravel frameworkto become a key player in our dynamic team. The successful candidate will be instrumental in crafting, developing, and optimizing back-end solutions that exceed our clients' expectations. We value creativity, dedication, and a team-oriented approach to tackling challenges and developing innovative solutions.Responsibilities:Collaborate effectively within a team environment, contributing to a positive work culture and open communication.Develop and maintain high-quality, clean, and efficient back-end code, adhering to industry best practices and coding standards.Identify, troubleshoot, and resolve bugs and performance issues.Engage in database design and optimization to ensure smooth application performance.Keep abreast of the latest trends and advancements in back-end development technologies and methodologies.Requirements:A minimum of two years of experience in back-end development, with a strong portfolio to demonstrate your skills.Proficiency in PHP and in-depth knowledge of the Laravel framework and its ecosystem.Experience in creating Restful web services.Proficient use of Git for version control and familiarity with CI/CD practices.Solid understanding of SQL, relational databases, and database design principles. While experience with PostgreSQL is beneficial, a strong foundation in any SQL-based database is essential.Ability to work flexibly and adaptively in an agile development environment.Would be a plus:Experience with Docker.Familiarity with BPM systems.Experience with Pest/PHPUnit.We Offer:A hybrid working model combining the best of remote and in-office collaboration.Competitive salary and flexible working hours to support work-life balance.A supportive and vibrant work environment that fosters professional growth and development."
https://jobinja.ir/companies/chitasoft/jobs/AAQv/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-back-end-developer-laravel-%D8%AF%D8%B1-%D8%B3%D8%B1%D9%85%D8%A7%DB%8C%DA%A9%D8%B3?_ref=16,"In the technical development process of Sarmayex, we are looking for a back-end developer. In this role, you will contribute to the production or improvement of products, while working with other members of the development team, focusing on the crypto work area.Hard Skills:Complete mastery ofPHPComplete mastery of theLaravel frameworkand familiarity with best practices, design patterns, and SOLIDComplete mastery ofSql-baseddatabase concepts, includingMySqlFamiliarity withRedisor masteringNOSQLdatabases is an advantage.Mastery ofRest APIdesign and web service conceptsFamiliarity with Unit Test is an advantage.Mastery ofLinuxandDockerand CL/Ci concepts is an advantageSufficient familiarity withGitGetting to know the principles of clean code and generating readable, structured and testable source codeFamiliar with Scrum methodology and Jira toolsSoft Skills:The spirit of teamworkResponsible, responsive, seeking to learn, critical, creative and persistentAbility to documentHaving team spirit and teamworkAbility to analyze and solve problemsHaving a work portfolio to presentResponsible and committed to project delivery scheduleCommitted to delivering daily, weekly and monthly work reportsMotivated and energetic"
https://jobinja.ir/companies/clever-2/jobs/AbXi/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-%D9%85%D8%B4%D9%87%D8%AF-%D8%AF%D8%B1-%DA%A9%D9%84%D9%88%D8%B1?_ref=16,"دارای 2 سال سابقه کاریآشنایی کافی با لینوکسمسئولیت پذیری و تعهد به اصول اخلاقی و کاریدارای روابط اجتماعی خوب و توانایی کار کردن به صورت کارتیمیتسلط به زبان برنامه نویسی PHPتسلط به  LARAVELتسلط به دیتابیس و MySqlتسلط بر  CSS , HTML , Bootstrapتسلط بر  Git , API , Restful"
https://jobinja.ir/companies/sepanta-9/jobs/A915/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C-%D8%A7%D8%A8%D8%B1%DB%8C-%D8%B3%D9%BE%D9%86%D8%AA%D8%A7?_ref=16,شرکت رایان اندیش سپنتا به دنبال برنامه‌نویس Laravel با تجربه و انگیزه برای پیوستن به تیم خود به صورت دورکاری می‌باشد. اگر شما یک توسعه‌دهنده مشتاق هستید و به دنبال فرصت‌های چالش‌برانگیز در زمینه توسعه وب و کار از راه دور هستید، ما مشتاق دیدار شما هستیم.مسئولیت‌ها:توسعه و نگهداری اپلیکیشن‌های وب با استفاده از فریمورک Laravelطراحی و پیاده‌سازی پایگاه‌های دادههمکاری با تیم طراحی و سایر توسعه‌دهندگان برای ارائه راه‌حل‌های نوآورانهتست و رفع اشکال کدهای نوشته شدهارائه مستندات فنی و راهنمای کاربریشرایط احراز:تسلط کامل به فریمورک Laravel و زبان برنامه‌نویسی PHPتجربه کار با MySQL و سایر پایگاه‌های دادهتوانایی کار در محیط تیمی و مدیریت پروژه‌های متعددتجربه کار با ابزارهای نسخه‌بندی (مثل Git)آشنایی با مفاهیم RESTful APIتوانایی برقراری ارتباط موثر و مدیریت زمان در شرایط دورکاریمزایا:حقوق و مزایای رقابتیانعطاف‌پذیری در ساعت کاری و مکانمحیط کاری دوستانه و پویا به صورت آنلاینفرصت‌های رشد و پیشرفت شغلیامکان شرکت در دوره‌های آموزشی و توسعه حرفه‌ای
https://jobinja.ir/companies/mailerever-1/jobs/AbrQ/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-php-laravel-%D8%AF%D8%B1-%D9%86%DA%AF%D8%A7%D8%B1-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%B4?_ref=16,"As a Senior PHP Developer, you will:Design, test, and develop robust and scalable PHP solutionsCollaborate with cross-functional teams throughout the software development lifecycleUtilize event-driven architectureRequirements:Minimum 3 years of experience in PHP MVC frameworks (Laravel/Symfony), with a deep understanding of their principles and best practicesExperience with message queuing and caching mechanisms to optimize system performanceStrong background in running 24/7 data storage servicesProficiency with managing data engines: NoSQL, SQL, Object Storage, File Storage, RDBMS (e.g., PostgreSQL, MariaDB, MongoDB, Clickhouse, MinIO)Strong understanding of data backup and disaster recovery best practices and methodologiesOur technical stack includes:PHP (Laravel), Redis, VueJS, Docker, MySQL, MongoDB, ElasticSearch, Kafka, RabbitMQ"
https://jobinja.ir/companies/uxegroup/jobs/AbwR/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-laravel-%D8%AF%D8%B1-%D8%AA%D8%AC%D8%B1%D8%A8%D9%87-%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%AE%D9%84%D8%A7%D9%82?_ref=16,مهارت های back-end :- تسلط کامل بر لاراول- modular laravel app- آشنا با وب سرویس صرافی ها- آشنا با میکرو سرویس- تسلط به react امتیاز محسوب میشه.مهارت های عمومی:- تسلط کامل بر Git- تسلط کامل به ابزار Postman- آشنایی با مفاهیم UI/UX- آشنایی با فرآیندهای توسعه نرم افزارمهارت های فردی:- متعهد و مسئولیت پذیر- توانایی تحلیل پروژه و حل مسئله- توانایی مشارکت و روحیه کار تیمی- توانایی مستندسازی- مدیریت زمان بندیمحل کار: حضوری در دفتر اصفهان واقع در شیخ مفید یا بصورت دورکاری* مزایا و امتیازات- کار در محیطی پویا بر روی مسائلی چالشی و جذاب و داغ در حوزه بورس و پروژه های مالی- همکاری در تیم  حرفه ای شامل متخصصین با تجربه در ایران و خارج از کشور- شرایط محل کار مناسب- ساعت کاری منعطف
https://jobinja.ir/companies/sakhtbazar/jobs/B9V/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-php-%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2-%D8%AF%D8%B1-%D8%B3%D8%A7%D8%AE%D8%AA-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1?_ref=16,مهارت های مورد نیاز:آشنا به PHP و فریمورک لاراول Laravel Frameworkآشنا به فرانت اند (Bootstrap jquery css)آشنا به VueJsتسلط به RESTFULL APIتسلط به Gitتسلط به MySqlتسلط به html css javascriptتسلط به nextjsتوانایی کار با apiتوانایی دیباگینگآشنایی با react queryتوانمندی های عمومی:توانایی کار با محیط GITداشتن روحیه کار تیمیانگیزه بالا در یادگیریمسئولیت پذیری ،نظم و تعهد کاریشرایط همکاری:(حقوق ثابت + بیمه + مزایا)
https://jobinja.ir/companies/ulduz-persian-technologists/jobs/Af7x/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2-laravel-%D8%AF%D8%B1-%D9%81%D9%86-%D8%A2%D9%88%D8%B1%D8%A7%D9%86-%D9%BE%D8%B1%D8%B4%DB%8C%D9%86-%D8%A7%D9%88%D9%84%D8%AF%D9%88%D8%B2?_ref=16,"شرکت نیاز به یک برنامه‌نویس (PHP (Laravel احتیاج داره ، فردی خلاق و متعهد و مشتاق یادگیری و پیشرفت که بتونه ما رو در مسیر رشد شرکت یاری کنه.مهارت ‌های ضروری:تسلط به زبان برنامه نویسی PHP Pureتسلط کامل به فریم ورک Laravelتوانایی تحلیل ،پیاده سازی و بهینه سازی دیتابیس MySQLتسلط در پیاده‌سازی API و وب‌سرویس‌های RESTfulتوانایی نوشتن Clean Codeآشنا به Dockerتسلط به git , githubآشنا به WordPressدارای روحیه همکاری و کار گروهیویژگی های فردی :1- متعهد و مسئولیت پذیر.2- خلاق و ایده پرداز.3- علاقه‌مند به یادگیری ."
https://jobinja.ir/companies/directam/jobs/AWag/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%A2%D9%85%D9%88%D8%B2-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-php-%D8%AF%D8%B1-%D8%AF%D8%A7%DB%8C%D8%B1%DA%A9%D8%AA%D9%85?_ref=16,با سلام و احترامشرکت دایرکتم به منظور تکمیل کادر فنی خود از کاراموزان php/laravel  دعوت به همکاری مینماید .مزایای همکاری با ما :فضای بازی ، اتاق بازی ، بازی های ورزشی و فکری (پینگ پونگ ، پلی استیشن ، بازی های فکری و... )کافه رایگان (قهوه ، دمنوش ، میان وعده و...)کتابخانهدسترسی به منابع و کورس های علمی بین المللی بدون محدودیتفضای کاری ۲۴ ساعته و منعطففضای کاری جذاب و پویاپیشرفت مادی همزمان با رشد علمیحقوق و مزایای مناسبفعالیت در یکی از بزرگ ترین شرکت های IT کشورشرایط :‌۱.توانایی کار گروهی و تیمی۲.اشنا یا علاقه مند به php/laravel۳.علاقه مند به یادگیریاطلاعات بیشتر- دوره کار اموزی ۲ ماهه میباشد- حقوق در طول دوره ی کاراموزی بسته به توانایی از ۷.۵ تا ۱۵ میلیون میباشد- امکان استخدام پس از طی دوره کار اموزی- مهارت هایی که در دوره کار آموزی آموزش داده میشوند :* php / laravel* دیتابیس mysql* وب سرویس ها* وب سرویس های سوشال مدیا ، اینستاگرام ، فیسبوک و تلگرامپیشاپیش از آشنایی با شما برنامه نویسان خلاق خوشحالیم :)
https://jobinja.ir/companies/Avin%20Media/jobs/AfNM/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-laravel-php-%D8%AF%D9%88%D8%B1%DA%A9%D8%A7%D8%B1%DB%8C-%D8%AF%D8%B1-%D8%A2%D9%88%DB%8C%D9%86-%D9%85%D8%AF%DB%8C%D8%A7?_ref=16,تسلط کامل به برنامه نویسی با  فریم ورک Laravelتسلط به مفاهیم طراحی و پیاده سازی Restful APIتسلط کامل به برنامه نویسی شی گرا و مفاهیم  MVCآشنا به CentOS و Ubuntu Serverآشنا با مفاهیم Docker و Container هاآشنا با سیستم اسکرام و Agileآشنایی کافی با Gitآشنایی کافی با بانک های اطلاعاتی MySQLآشنایی با  Clean Codeتوانایی تحلیل و طراحیمهارت کافی در مستندسازی پروژه و ارائه گزارش های فنیمهارتهای عمومیدارای تجربه کار تیمیتوانایی مدیریت زمانبا انگیزه و دلسوز و مشتاق به یادگیریخلاق و چالش پذیردارای مهارت حل مسئله
https://jobinja.ir/companies/directam/jobs/Abfw/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-php-laravel-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%D8%AF%D8%A7%DB%8C%D8%B1%DA%A9%D8%AA%D9%85?_ref=16,"اگه علاقه مند به سوشیال مدیا باشی قطعا اسم برنددایرکتمرو شنیدی!‌ دایرکتم اولین ارایه دهنده ی خدمات و نرم افزار های بر بستر شبکه های اجتماعی در ایرانه!ما تولید کننده اولین نرم افزار مدیریت دایرکت هوشمند اینستاگرام در ایران هستیم و الان به منظور طراحی نرم افزار های جدید و نوین نیازمند برنامه نویسان توانمند مسلط به Laravel هستیم و از نظر امنیت شغلی، رشد علمی، حس خوب و محیط پویا میتونیم به شما تضمین بدیم ;)چیزایی که از شما انتظار داریم:تسلط کامل به PHP و Laravelمسلط به MySQLآشنایی با دیتابیس های NoSQLمسلط به معماری MVCآشنایی با مفاهیم OOPتسلط به مفاهیم طراحی و پیاده سازی Restful Apiآشنایی با Html, Css, JavaScript, Jqueryترجیحا آشنا به Vue Jsآشنایی با متودولوژی اجایل و فریمورک اسکرامآشنایی با Gitمسلط به معماری پروژهآشنایی با اصول clean code و تولید سورس کد خوانا، ساختارمند و قابل تستروحیه انجام کار تیمیمسئولیت پذیر، پاسخگو،به دنبال یادگیری، انتقاد پذیر، خلاق و دارای پشتکارموارد امتیازی:آشنایی با Dockerتجربه کاری محیط‌های چابک (اسکرام)آشنایی با Design Pattern هاما چه مزایایی براتون مهیا میکنیم؟فضای بازی ، اتاق بازی ، بازی های ورزشی و فکری (پینگ پونگ ، پلی استیشن ، بازی های فکری و... )کافه رایگان (قهوه ، دمنوش ، میان وعده و...)کتابخانهدسترسی به منابع و کورس های علمی بین المللی بدون محدودیتفضای کاری ۲۴ ساعته و منعطففضای کاری جذاب و پویاپیشرفت مادی همزمان با رشد علمیحقوق و مزایای مناسبفعالیت در یکی از بزرگ ترین شرکت های IT کشور"
https://jobinja.ir/companies/irapardaz/jobs/A05l/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-back-end-developer-php-laravel-%D8%AF%D8%B1-%D8%A7%DB%8C%D8%B1%D8%A7%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2?_ref=16,ما در ایراپرداز درحال رشد و توسعه هستیم و علاقمندیم در این مسیر پیش رو با افراد مستعد و توانمند همراه شویم.اگر علاقمند به فعالیت در محیط جوان و پویای استارتاپی هستید و حداقل دو سال سابقه به عنوان توسعه دهنده Back-end (PHP-Laravel) دارید منتظر رزومه های شما هستیم.شرح شغل:پیاده سازی فیچرهای درخواست شدهعیب یابی و فهم کدهاطراحی و پیاده سازی دیتابیسمعماری نرم افزارتوانمندی و مهارت های مورد نیاز:دانش کافی در مفاهیم CS، مانندساختار دادهتسلط بر زبان PHP و فریم ورک Laravelآشنایی با طراحی و پیاده سازی APIآشنایی با اصول دیتابیس و نحوه کار با سیستم های اطلاعاتی از جمله SQLآشنایی با Redisآشنایی با Queueآشنایی با Docker* آشنایی با vue مزیت محسوب میشودمهارت های فردی:دارای روحیه کار تیمیمسئولیت پذیر و منظمتوانایی مدیریت زمانتوانایی حل مسئلهدارای روحیه یادگیرندهمزایا:دسترسی آسان به مترو و BRTمحیط کاری پویا و دوستانهامکان امریه سربازیامکان توسعه فردیروزها و ساعت کاری: شنبه تا چهارشنبه 9 الی 18محدوده شرکت : تهران- میدان انقلاب
https://jobinja.ir/companies/entekhab-industrial-group/jobs/AHF2/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-laravel-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%DA%AF%D8%B1%D9%88%D9%87-%D8%B5%D9%86%D8%B9%D8%AA%DB%8C-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8-%D8%A7%D9%84%DA%A9%D8%AA%D8%B1%D9%88%D9%86%DB%8C%DA%A9?_ref=16,"کارشناس برنامه‌نویسی laravelتسلط کامل به زبان برنامه نویسی PHP• تسلط کامل به فریم ورک Laravel• تسلط کامل به MYSQL• تسلط کامل به RESTful API• آشنایی با Git, Git Flow• داشتن نمونه کارشرایط احراز:جنسیت: خانم و آقاداشتن کارت پایان خدمت الزامی استشرایط سنی: 20 تا 35سابقه کار: حداقل 3 سالآموزش‌های تخصصی حین کار همراه با ارائه مدرک معتبر (امور آموزش رایگان است)حقوق ثابت، کارانهحق ماموریتبیمه تامین اجتماعیبیمه تکمیلیناهارکمک هزینه ایاب و ذهابکمک هزینه سفرکمک هزینه معیشتخدمات رفاهی ویژه، هدایای مناسبتی ویژهوام سالانهامکان استفاده از بن کارت تعاونی مصرف گروه انتخاب برای خرید اقساطی از فروشگاه‌های منتخب"
